X.ZTIME,LON,LAT,WSR_ID,CELL_ID,RANGE,AZIMUTH,SEVPROB,PROB,MAXSIZE
20150121064119,-76.76315,33.10172,KLTX,K1,99,122,100,100,1.75
20150121064250,-75.91198,33.31189,KMHX,B2,100,151,100,100,1.25
20150121064250,-76.73762,33.11036,KMHX,T1,100,176,100,100,1.5
20150121064250,-75.0648,33.78042,KMHX,R1,108,123,100,100,1.75
20150121064615,-76.74476,33.12607,KLTX,K1,99,121,100,100,1.75
20150121064748,-75.51033,33.12698,KMHX,H2,120,145,90,90,1
20150121064748,-76.55513,33.24645,KMHX,P1,93,170,90,90,1
20150121064748,-76.99099,32.92511,KMHX,F2,111,183,90,90,1.25
20150121064748,-75.02721,33.79754,KMHX,R1,109,122,100,100,1.25
20150121064748,-75.28599,33.22816,KMHX,Y0,122,139,100,100,1.25
20150121064748,-75.98241,33.29995,KMHX,J2,99,153,100,100,1.5
20150121064748,-76.73898,33.12702,KMHX,T1,99,176,100,100,1.75
20150121064748,-75.5169,33.45791,KMHX,G2,104,139,100,100,1.75
20150121065111,-76.72687,33.15068,KLTX,K1,99,120,100,100,1.75
20150121065245,-75.92145,33.32658,KMHX,J2,99,151,100,100,1.25
20150121065245,-75.25386,33.2513,KMHX,Y0,122,138,100,100,1.25
20150121065245,-75.55517,33.54048,KMHX,O2,99,138,100,100,1.25
20150121065245,-76.74034,33.14368,KMHX,T1,98,176,100,100,2
20150121065608,-76.69228,33.16721,KLTX,K1,100,119,90,90,1.25
20150121065742,-75.55499,33.18221,KMHX,P2,116,145,100,100,1.5
20150121065742,-75.2861,33.38435,KMHX,N2,115,136,100,100,1.5
20150121065742,-76.67474,33.16518,KMHX,T1,97,174,100,100,2
20150121070240,-75.47683,33.55492,KMHX,O2,101,136,90,100,1
20150121070240,-75.19558,33.25009,KMHX,Y0,124,137,90,90,1.25
20150121070240,-75.17203,33.43172,KMHX,N2,117,133,90,100,1.25
20150121070737,-75.46919,33.36091,KMHX,G2,110,140,90,90,1
20150121070737,-75.80121,33.26852,KMHX,V2,105,149,90,100,1
20150121070737,-76.43109,33.01133,KMHX,L2,108,168,90,100,1
20150121071234,-75.72837,33.28627,KMHX,V2,106,147,90,100,1
20150121071234,-75.50105,33.2347,KMHX,P2,115,143,100,100,1.5
